范围,题目,答案
针灸学,"题干描述：某男，50岁，腹泻2年。晨起即腹痛，泻后痛减，腹冷喜暖，精神疲乏，腰酸腿软，四肢发冷，舌淡，苔白，脉沉细。治疗除神阙、天枢、足三里、公孙外，应加用
选项A：阴陵泉、命门
选项B：阴陵泉、脾俞
选项C：脾俞、太白
选项D：肾俞、关元
选项E：下脘、关元",D
中医外科,"题干描述：寒痛的特点是
选项A：游走性，痛无定处
选项B：阵发性，攻痛无常
选项C：木痛，得热缓解
选项D：酸痛，得热缓解
选项E：持续性固定性胀痛",D
中医诊断学,"题干描述：伏脉的主病是
选项A：失血伤阴
选项B：亡血失精
选项C：惊恐疼痛
选项D：寒证痛证
选项E：邪闭痛极",E
中医儿科学,"题干描述：面目皮肤发黄，颜色逐渐加深，晦暗无华，右胁下痞块质硬，肚腹膨胀，青筋显露，唇色暗红，舌见瘀点，苔黄；证属
选项A：肠腑阻结证
选项B：寒湿内蕴证
选项C：脾运失职证
选项D：肝失疏泄证
选项E：气滞血瘀证",E
中医基础理论,"题干描述：最易伤肺的邪气是
选项A：风邪
选项B：寒邪
选项C：湿邪
选项D：燥邪
选项E：火邪",D
中医儿科学,"题干描述：患儿，2岁。发热2小时。证见发热，恶寒，无汗，鼻塞，流清涕，微咳，咽部不红，纳少，舌淡红，苔薄白，指纹浮红。其证候是
选项A：风寒感冒
选项B：风热感冒
选项C：暑邪感冒
选项D：时邪感冒
选项E：感冒夹滞",A
针灸学,"题干描述：三棱针点刺法常取的腧穴是
选项A：十宣、井穴
选项B：曲泽、委中
选项C：肺俞、胃俞
选项D：合谷、太冲
选项E：列缺、照海",A
中医儿科学,"题干描述：患儿，8岁。反复咳嗽喘促3年余。证见咳嗽时作，喘促乏力，咯痰不爽，潮红盗汗，手足心热，大便秘结，小便少，舌质红，少苔，脉细数。治疗首选方
选项A：桑菊饮
选项B：麦味地黄丸
选项C：养阴清肺汤
选项D：麻杏石甘汤
选项E：沙参麦冬汤",B
中医内科,"题干描述：热秘的特征为
选项A：大便干结，小便短赤
选项B：大便秘结，欲便不得
选项C：虽有便意，努挣乏力
选项D：大便艰涩，排出困难
选项E：大便不干，小便清长",A
中医内科,"题干描述：患者腹大胀满，按之如囊裹水，伴下肢浮肿，胸脘痞胀，精神困倦，怯寒懒动，尿少便溏，舌苔白腻，脉缓。其治法是
选项A：温中健脾，行气利水
选项B：温补脾肾，化气行水
选项C：健脾益气，化气行水
选项D：理气疏肝，化瘀利水
选项E：健脾渗湿，行气利水",A
针灸学,"题干描述：膀胱俞的定位是
选项A：第1骶椎棘突下，旁开1.5寸，约平第1骶后孔
选项B：第2骶椎棘突下，旁开1.5寸，约平第2骶后孔
选项C：第3骶椎棘突下，旁开1.5寸，约平第3骶后孔
选项D：第2骶椎棘突下，旁开3寸，约平第2骶后孔
选项E：第3骶椎棘突下，旁开3寸，约平第3骶后孔",B
针灸学,"题干描述：治疗郁证的主穴是
选项A：内关、水沟、丰隆、后溪、百会、印堂
选项B：内关、水沟、太冲、神门、百会、印堂
选项C：四神聪透百会、神庭透上星
选项D：照海、申脉、神门、印堂、百会
选项E：内关、郄门、神门、巨阙、印堂",B
中医内科,"题干描述：中经络风阳上扰证的治法是
选项A：养血祛风通络
选项B：平肝潜阳，活血通络
选项C：熄风清火，豁痰开窍
选项D：化痰熄风，宣郁开窍
选项E：回阳救阴，益气固脱",B
中医内科,"题干描述：“消渴”上消临床表现突出的症状是
选项A：消谷善饥
选项B：烦躁不安
选项C：身体消瘦
选项D：烦渴引饮
选项E：尿频量多",D
中药学,"题干描述：伤寒邪在少阳，寒热往来者，宜选用的药物是
选项A：柴胡
选项B：菊花
选项C：升麻
选项D：桑叶
选项E：葛根",A
方剂学,"题干描述：蒿芩清胆汤的功用是
选项A：疏肝解郁，益血健脾
选项B：补脾柔肝，祛湿止泻
选项C：清热泻火，利水通淋
选项D：清热利湿，逐瘀退黄
选项E：清胆利湿，和胃化痰",E
中医外科,"题干描述：患者，男，38岁。患急性子痈2天，恶寒发热，左侧睾丸肿大疼痛，疼痛引及子系（精索），舌红苔黄腻，脉滑数。证属湿热下注，气血壅滞，经络阻隔为患。治宜清热解毒，利湿消肿，应首选
选项A：透脓散
选项B：滋阴除湿汤
选项C：萆薜化毒汤
选项D：柴胡疏肝散
选项E：枸橘汤加减",E
方剂学,"题干描述：治疗伤食积滞的代表方剂是
选项A：保和丸
选项B：健脾丸
选项C：枳实消痞丸
选项D：枳实导滞丸
选项E：木香槟榔丸",A
中医儿科学,"题干描述：小儿肺炎喘嗽的主要治疗原则是
选项A：辛温宣肺，化痰止咳
选项B：辛凉宣肺，清热化痰
选项C：开肺化痰，止咳平喘
选项D：清热涤痰，肃肺定喘
选项E：清热解毒，泻肺开闭",C
中医诊断学,"题干描述：阳水的水肿特点为
选项A：眼睑先肿
选项B：足胫先肿
选项C：足胫、下肢先肿
选项D：眼睑、颜面先肿
选项E：上肢、眼睑先肿",D
中医诊断学,"题干描述：以下哪项不属于促脉所主的病证
选项A：气血停滞
选项B：脏气衰败
选项C：痰食停滞
选项D：阳盛实热
选项E：寒凝肝脉",E
中医儿科学,"题干描述：治疗蛔虫病肠虫证的首选方剂是
选项A：追虫丸
选项B：化虫丸
选项C：使君子散
选项D：乌梅丸
选项E：驱虫粉",C
针灸学,"题干描述：胃经在循行中，未与以下何处发生联系
选项A：口
选项B：目
选项C：鼻
选项D：膈
选项E：下齿",E
中医内科,"题干描述：下列哪一项不是实喘的表现
选项A：呼吸深长
选项B：吸入为快
选项C：气粗声高
选项D：痰鸣咳嗽
选项E：脉数有力",B
针灸学,"题干描述：八会穴是指
选项A：脏腑之气输注于背腰部的腧穴
选项B：脏腑之气汇聚于胸腹部的腧穴
选项C：六腑之气下合于足三阳经的腧穴
选项D：十二经脉与奇经八脉相通的8个输穴
选项E：脏、腑、气、血、筋、脉、骨、髓等精气聚会的8个腧穴",E
中医外科,"题干描述：治疗肠痈热毒证的代表方剂是
选项A：仙方活命饮加减
选项B：黄连解毒汤合五味消毒饮加减
选项C：大黄牡丹汤加减
选项D：复方大柴胡汤加减
选项E：大黄牡丹汤合透脓散加减",E
中医诊断学,"题干描述：下列不属于假神临床表现的是
选项A：突然昏倒，口吐白沫
选项B：目无光彩，突然目光转亮
选项C：懒言少语，突然言语不休
选项D：本无食欲，突然欲进饮食
选项E：面色无华，突然两颧泛红如妆",A
方剂学,"题干描述：逍遥散所主证候的病机要点是
选项A：阴虚肝郁，横犯脾胃
选项B：肝血不足，疏泄失常
选项C：肝气郁滞，耗伤阴血
选项D：肝郁血虚，脾失健运
选项E：营血虚滞，肝失疏泄",D
中医外科,"题干描述：初起隐痛，胀痛，皮色不变或暗紫的是
选项A：气痛
选项B：湿痛
选项C：痰痛
选项D：化脓痛
选项E：瘀血痛",E
针灸学,"题干描述：位于前正中线上，脐下1.5寸的腧穴是
选项A：建里
选项B：中脘
选项C：中极
选项D：气海
选项E：关元",D
中医诊断学,"题干描述：戴阳证患者的表现为
选项A：面黄隐隐
选项B：面色红赤
选项C：面色淡白
选项D：面色淡青
选项E：面色苍白，颧颊部嫩红如妆",E
中医内科,"题干描述：患者肺痨迁延9年余，咳嗽痰白质稀，声低气怯，午后潮红，面颧红赤，神疲，纳少，大便溏薄，自汗，盗汗，偶有痰中带血，面色少华，舌光，边有齿印，脉细弱。方选
选项A：百合固金汤加减
选项B：补天大造丸加减
选项C：月华丸加减
选项D：参苓白术散加减
选项E：秦艽鳖甲散加减",D
针灸学,"题干描述：下列输穴中，治疗便秘效果较好的是
选项A：关冲
选项B：中渚
选项C：阳池
选项D：支沟
选项E：外关",D
中医诊断学,"题干描述：手足蠕动，瘛疭，舌绛少苔，脉虚，属
选项A：下焦病证
选项B：营分证
选项C：中焦病证
选项D：少阳病证
选项E：厥阴病证",A
中医内科,"题干描述：下列哪项不是积证的特征
选项A：结块有形
选项B：结块固定不移
选项C：痛有定处
选项D：病在气分
选项E：是为脏病",D
中医内科,"题干描述：沙参麦冬汤治疗咳嗽之何种证型
选项A：风热犯肺
选项B：风寒袭肺
选项C：风燥伤肺
选项D：痰热郁肺
选项E：肺阴亏耗",E
针灸学,"题干描述：足阳明胃经与足太阴脾经的交接部位是
选项A：手小指端
选项B：无名指端
选项C：足小趾端
选项D：足大趾内端
选项E：足大趾外端",D
中医基础理论,"题干描述：暴喜可引起
选项A：精神不集中，甚则失神狂乱
选项B：精神萎靡不振，气短乏力
选项C：二便失禁，昏厥，遗精
选项D：纳呆，腹胀
选项E：心悸，惊恐不安",A
中医儿科学,"题干描述：蛲虫病治疗原则以何法为主
选项A：杀虫
选项B：驱虫
选项C：调理脾胃
选项D：消食导滞
选项E：以上都不正确",B
方剂学,"题干描述：以清热解毒，凉血止痢为主要功用的方剂是
选项A：败毒散
选项B：芍药汤
选项C：白头翁汤
选项D：黄连解毒汤
选项E：犀角地黄汤",C
中医儿科学,"题干描述：患儿，男，9岁。发热1天，口渴咽痛，烦燥不安，全身可见鲜红皮疹，疹点致密，舌红，苔黄，脉数。诊断是
选项A：风疹
选项B：幼儿急疹
选项C：麻疹
选项D：猩红热
选项E：水痘",A
中药学,"题干描述：既能够治疗热病心烦、郁闷、躁扰不宁，又能够治疗血热妄行之吐衄、尿血的药物是
选项A：石膏
选项B：知母
选项C：苦参
选项D：栀子
选项E：黄芩",D
中医儿科学,"题干描述：小儿肺炎喘嗽的病机关键为
选项A：风寒闭肺
选项B：风热闭肺
选项C：毒热闭肺
选项D：肺气闭郁
选项E：肺脾气虚",D
中医儿科学,"题干描述：鹅口疮虚火上浮证证见
选项A：口舌白屑满布
选项B：口舌白屑散在
选项C：舌如草莓
选项D：舌起芒刺
选项E：恶寒发热",B
中药学,"题干描述：既能补肾固精，又能养肝明目的药物是
选项A：决明子、石决明
选项B：青葙子、谷精草
选项C：菟丝子、沙苑子
选项D：车前子、牛蒡子
选项E：女贞子、夏枯草",C
中医儿科学,"题干描述：下述哪项不是过敏性紫癜的临床特点
选项A：紫癜多见于下肢伸侧及臀部、关节周围
选项B：多呈对称性分布
选项C：不高出皮肤
选项D：压之不退色
选项E：可伴腹痛及关节痛",C
中药学,"题干描述：具有利水通淋，止咳作用的药物是
选项A：木通
选项B：金钱草
选项C：石韦
选项D：地肤子
选项E：海金沙",C
中医儿科学,"题干描述：下述因素除哪项外皆可能成为夏季热的病因
选项A：禀赋不足
选项B：感受暑邪
选项C：病后体虚
选项D：不耐炎暑
选项E：风寒袭表",E
中药学,"题干描述：具有清热利水，止痒作用的药物是
选项A：木通
选项B：金钱草
选项C：石韦
选项D：地肤子
选项E：海金沙",D
中医儿科学,"题干描述：患儿，2岁，精神萎靡，嗜睡露睛，面色萎黄，不欲饮食，大便稀溏，色带青绿，时有肠呜，四肢不温，抽搐无力，时作时止，舌淡苔白，脉沉弱。治疗首选方剂是
选项A：附子理中汤
选项B：固真汤
选项C：镇肝熄风汤
选项D：缓肝理脾汤
选项E：羚角钩藤汤",D
中医儿科学,"题干描述：皮肤黏膜淋巴结综合征治疗原则是
选项A：辛凉透表，清热解毒
选项B：滋养胃津，顾护心阴
选项C：清热解毒，活血化瘀
选项D：益气养阴，清解余热
选项E：疏风清热，利湿解毒",C
中医外科,"题干描述：有关痰饮瘀血下列叙述正确的是
选项A：仅是病理产物
选项B：既是病理产物，在一定的条件下又为病因
选项C：任何情况下都是病因
选项D：常常痰饮单独为病
选项E：常常瘀血单独为病",B
中医内科,"题干描述：肺痈恢复期应选
选项A：千金苇茎汤合如金解毒散
选项B：银翘散
选项C：葶苈大枣泻肺汤
选项D：沙参麦冬汤或桔梗杏仁煎
选项E：加味桔梗汤",D
中药学,"题干描述：石菖蒲的功效是
选项A：开窍醒神，解郁行气
选项B：开窍醒神，清热止痛
选项C：开窍醒神，活血散瘀
选项D：开窍醒神，化湿和胃，宁神益志
选项E：开窍醒神，止痛，催产",D
中医诊断学,"题干描述：以下哪项不是气脱证的表现
选项A：呼吸微弱
选项B：汗出不止
选项C：少气乏力
选项D：面色苍白
选项E：舌淡脉微",C
方剂学,"题干描述：大承气汤的组成药物中含有
选项A：当归
选项B：芒硝
选项C：芒硝
选项D：芍药
选项E：大黄",C
中医基础理论,"题干描述：别络的生理功能为
选项A：约束纵行诸经
选项B：加强了十二经脉中相为表里的两经在体表的联系
选项C：加强了十二经脉中相为表里的两经在体内的联系
选项D：调节十二经脉的气血
选项E：分主一身左右之阴阳",B
中医儿科学,"题干描述：患儿，男，8岁，高热3天不退，颜面躯干皮疹分布密集，疹色紫暗，疱浆混浊，大便干结，舌红绛，苔黄，脉数有力。其治法是
选项A：疏风清热，利湿解毒
选项B：疏风解表，清热透疹
选项C：清气凉营，解毒化湿
选项D：清气凉营，泻火解毒
选项E：清凉解毒，透疹达邪",C
中医儿科学,"题干描述：患儿，2岁，发热3天，口腔、手足、四肢、臀部可见疱疹，疹色紫暗，疱液混浊，口臭流涎，小便黄，大便秘结，舌质红绛，苔黄厚腻，指纹紫。治疗首选
选项A：甘露消毒丹
选项B：清瘟败毒饮
选项C：凉营清气汤
选项D：清胃解毒汤
选项E：透疹凉解汤",B
中医儿科学,"题干描述：传染性单核细胞增多症的发病年龄多见于
选项A：婴儿和幼儿
选项B：幼儿和儿童
选项C：年长儿和青少年
选项D：青少年和成人
选项E：儿童和成人",C
中医儿科学,"题干描述：患儿，4岁，每晚尿床1次以上，小便清长，面白少华，神疲乏力，智力较同龄儿稍差，肢冷畏寒，舌质淡，苔白滑，脉沉无力。治疗首选方剂为
选项A：桑螵蛸散
选项B：巩堤丸
选项C：补肾地黄丸
选项D：菟丝子散
选项E：桂枝加龙骨牡蛎汤",D
中医内科,"题干描述：治疗痴呆脾肾两虚证，应首选
选项A：七福饮
选项B：还少丹
选项C：转呆丹
选项D：知柏地黄丸
选项E：河车大造丸",B
针灸学,"题干描述：治疗晕厥实证者，宜加用
选项A：关元、气海
选项B：合谷、太冲
选项C：十宣、气海
选项D：内关、百会
选项E：十二井穴",B
中医内科,"题干描述：中风中脏腑脱证的治法是
选项A：养血祛风通络
选项B：平肝潜阳，活血通络
选项C：熄风清火，豁痰开窍
选项D：化痰熄风，宣郁开窍
选项E：回阳救阴，益气固脱",E
中医诊断学,"题干描述：带下色黄，质黏臭秽，多属
选项A：脾气虚弱
选项B：湿热下注
选项C：脾肾阳虚
选项D：寒湿下注
选项E：以上都不是",B
方剂学,"题干描述：下列方剂中不属于汗法范畴的是
选项A：再造散
选项B：杏苏散
选项C：败毒散
选项D：普济消毒饮
选项E：升麻葛根汤",D
方剂学,"题干描述：香薷散主治
选项A：阴暑
选项B：暑湿证
选项C：暑热气津两伤证
选项D：暑热证
选项E：阳暑",A
中医内科,"题干描述：肺胀的病位在肺，继则影响到
选项A：心、脾，后期病及于肾
选项B：脾、肾，后期病及于心
选项C：肝、肾，后期病及于心
选项D：肝、脾，后期病及于心
选项E：心、肝，后期病及于肾",B
中医诊断学,"题干描述：面色淡黄，枯槁无华称为
选项A：黄胖
选项B：萎黄
选项C：阴黄
选项D：阳黄
选项E：黄疸",B
中医诊断学,"题干描述：下列各项中，以冷汗、肢厥、面白、脉微为主要表现的是
选项A：阴虚证
选项B：阳虚证
选项C：亡阴证
选项D：亡阳证
选项E：以上均不是",D
中医基础理论,"题干描述：“夺血者无汗，夺汗者无血”的理论依据是
选项A：气能生血
选项B：气能化津
选项C：气能摄血
选项D：津能载气
选项E：津血同源",E
针灸学,"题干描述：某女，34岁，泄泻2天，肛门灼热，腹痛，口渴喜饮，小便短赤，苔黄腻，脉濡数。除主穴外，应加用
选项A：内庭、曲池
选项B：中脘
选项C：神阙
选项D：太冲
选项E：脾俞、太白",A
针灸学,"题干描述：下列腧穴中，治疗急性胃病应首选
选项A：梁门
选项B：梁丘
选项C：内庭
选项D：上巨虚
选项E：下巨虚",B
中医外科,"题干描述：患者左腋下肿痛4天，左上肢活动不利，1周前有左手指外伤史。治疗宜选用
选项A：柴胡清肝汤
选项B：五神汤
选项C：萆薢渗湿汤
选项D：仙方活命饮
选项E：牛蒡解肌汤",A
针灸学,"题干描述：相表里的阴经与阳经的循行交接部位是
选项A：心中
选项B：胸中
选项C：腹中
选项D：头面部
选项E：手足末端",E
方剂学,"题干描述：下列各项中，不属于仙方活命饮组成药物的是
选项A：连翘
荆芥
木香
选项B：贝母
乳香
没药
选项C：防风
甘草
皂角刺
选项D：当归
防风
天花粉
选项E：甘草
白芷
穿山甲",A
中医诊断学,"题干描述：脉体宽大，来盛去衰的脉象是
选项A：大脉
选项B：芤脉
选项C：实脉
选项D：洪脉
选项E：长脉",D
方剂学,"题干描述：当归补血汤适用于
选项A：气阴两伤，久咳自汗者
选项B：疮疡溃后，久不收口者
选项C：阴虚火旺，骨蒸盗汗者
选项D：虚火灼金，咳嗽咯血者
选项E：虚劳肺萎，干咳无痰者",B
中医基础理论,"题干描述：影响宗气盛衰的因素是
选项A：心与肺的功能活动
选项B：肝与肾的功能活动
选项C：肺与肾的功能活动
选项D：肺与脾的功能活动
选项E：肝与脾的功能活动",D
中医诊断学,"题干描述：中医诊断的基本原则是
选项A：整体审察，四诊合参，病证结合
选项B：辨证求因，审因论治，脉症合参
选项C：证候真假，证候错杂，诊法合参
选项D：证候转化，病证结合，辨证求因
选项E：司外揣内，见微知著，以常衡变",A
中药学,"题干描述：石决明、决明子的共同作用是
选项A：润肠通便
选项B：清肝明目
选项C：息风止痉
选项D：止咳平喘
选项E：降气化痰",B
中医诊断学,"题干描述：口舌糜烂又见小便灼热涩痛者是
选项A：心火亢盛
选项B：膀胱湿热
选项C：胃热炽盛
选项D：肝火上炎
选项E：肠道湿热",A
中医内科,"题干描述：小青龙汤治疗肺胀哪一型
选项A：外寒内饮
选项B：痰热郁肺
选项C：痰蒙神窍
选项D：肺肾气虚
选项E：阳虚水泛",A
中医外科,"题干描述：皮肉重垂胀急，深按凹陷的是
选项A：热肿
选项B：寒肿
选项C：风肿
选项D：湿肿
选项E：痰肿",D
中药学,"题干描述：为增强活血祛瘀药的功效常配伍哪类药物同用
选项A：解表药
选项B：理气药
选项C：温里药
选项D：泻下药
选项E：补虚药",B
中医内科,"题干描述：下列关于自汗盗汗的病机描述中，错误的是
选项A：实证者多由外感风热及肝火所致
选项B：基本病机为阴阳失调，腠理不固，营卫失和
选项C：自汗多为气虚
选项D：盗汗多为阴虚
选项E：病理性质虚多实少",A
中医基础理论,"题干描述：起于目内眦的经脉是
选项A：足厥阴肝经
选项B：足阳明胃经
选项C：足太阳膀胱经
选项D：手太阴肺经
选项E：足少阳胆经",C
中医内科,"题干描述：某男，60岁，咳喘胸满，但坐不得卧，喉间痰鸣如拽锯，咯痰黏腻难出，舌苔厚浊，脉象滑实。治疗方剂宜首选
选项A：小青龙汤
选项B：射干麻黄汤
选项C：三子养亲汤
选项D：定喘汤
选项E：以上都不是",C
中医诊断学,"题干描述：以下不属结脉所主病证的是
选项A：阴盛气结
选项B：气血虚衰
选项C：寒痰
选项D：食积
选项E：瘀血",D
中医诊断学,"题干描述：伤寒病凡一经病证未罢，又见他经病证者，称为
选项A：传经
选项B：直中
选项C：合病
选项D：并病
选项E：以上都不是",D
中医诊断学,"题干描述：舌紫而吐舌可见于
选项A：血虚动风
选项B：热极生风
选项C：阴虚动风
选项D：疫毒攻心
选项E：肝阳化风",D
中医儿科学,"题干描述：下列各项，对胎怯的描述错误的是
选项A：只包括早产儿
选项B：出生体重低于2500g
选项C：相当于西医学低出生体重儿
选项D：成为围生期死亡的主要原因之一
选项E：易并发硬肿症、败血症、新生儿窒息、黄疸等疾病",A
针灸学,"题干描述：若辨证为痛痹，应选用
选项A：肾俞、关元
选项B：大椎、曲池
选项C：肝俞、太冲
选项D：膈俞、血海
选项E：阴陵泉、足三里",A
中医基础理论,"题干描述：“阴胜则阳病”说明了阴阳之间的何种关系
选项A：阴阳交感
选项B：阴阳互根
选项C：阴阳对立
选项D：阴阳消长
选项E：阴阳转化",C
中医诊断学,"题干描述：胸胁肋间饱满，咳唾引痛此属
选项A：饮留胃肠
选项B：饮停胸胁
选项C：饮溢四肢
选项D：饮停于肺
选项E：肝气郁结",B
中医诊断学,"题干描述：以下不属代脉所主病证的是
选项A：脏气衰微
选项B：痰湿
选项C：疼痛
选项D：惊恐
选项E：跌仆损伤",B
中医儿科学,"题干描述：患儿，半岁。骤闻异声后，夜里啼哭1个月，每夜发作3～5分钟。其病因是
选项A：感受外邪
选项B：伤乳因素
选项C：惊恐因素
选项D：环境污染
选项E：胎产因素",C
中医儿科学,"题干描述：阴虚咳嗽证见
选项A：咳嗽反复不已，痰白清稀，气短懒言，自汗畏寒
选项B：干咳无痰，口渴咽干，咽痒声嘶，舌红少苔
选项C：咳嗽不爽，痰黄黏稠，不易咯出，舌苔黄腻
选项D：咳嗽频作，声重咽痒，咳痰清稀，舌苔薄白
选项E：咳嗽重浊，痰多壅盛，胸闷纳呆，舌苔白腻",B
中医诊断学,"题干描述：燥淫证的特点是
选项A：恶寒发热，无汗头痛
选项B：发热恶风，头痛汗出
选项C：发热汗出，口渴乏力
选项D：胸脘痞闷，口腻不渴
选项E：干咳少痰，口渴饮水",E
中药学,"题干描述：滋补药的煎法是
选项A：武火急煎
选项B：文火久煎
选项C：武火久煎
选项D：文火略煎
选项E：另煎兑入",B
中医内科,"题干描述：患者由情志异常、精神刺激而发作，突然昏倒，不知人事，或四肢厥冷，呼吸气粗，口噤握拳，舌苔薄白，脉伏或沉弦。证属
选项A：血厥实证
选项B：痰厥
选项C：气厥虚证
选项D：血厥虚证
选项E：气厥实证",E
中医诊断学,"题干描述：脉象八要素不包括的是
选项A：脉位
选项B：脉率
选项C：脉伏
选项D：脉长
选项E：脉势",C
方剂学,"题干描述：槐花散的功用是
选项A：清肠止血，养阴清热
选项B：养血止血，清肠祛风
选项C：益气健脾，养血止血
选项D：清肠止血，疏风行气
选项E：养阴清热，凉血止血",D
中医基础理论,"题干描述：舌与其他脏腑经络的关系中，上达咽喉，与舌根相连的是
选项A：肝系
选项B：心系
选项C：肾系
选项D：肺系
选项E：脾系",D
中医外科,"题干描述：中医的血瘤，相当于西医的
选项A：血管瘤
选项B：皮脂腺囊肿
选项C：下肢静脉曲张
选项D：脂肪瘤
选项E：多发性神经纤维瘤",A
中医外科,"题干描述：发病急骤，漫肿宣浮的是
选项A：热肿
选项B：寒肿
选项C：风肿
选项D：湿肿
选项E：痰肿",C
中医诊断学,"题干描述：斑与疹的主要区别是
选项A：是否色红成片
选项B：是否时现时隐
选项C：是否抚之碍手
选项D：是否压之褪色
选项E：是否伴有身热",C
中医儿科学,"题干描述：患儿，男，3岁。因右侧腮部肿胀2天就诊。现证见右侧腮部肿痛，恶寒发热，头痛，舌质红，苔薄白微黄，脉浮数。治疗首选方剂是
选项A：柴胡葛根汤
选项B：普济消毒饮
选项C：仙方活命饮
选项D：五味消毒饮
选项E：荆防败毒散",A
中药学,"题干描述：朱砂能治疗心悸失眠，具有重镇安神之功，其归经是
选项A：归心经
选项B：归肝经
选项C：归脾经
选项D：归肺经
选项E：归肾经",A
中医内科,"题干描述：患者，男性，43岁，身热，微恶风，汗少，头昏重胀而痛，心烦口渴，胸闷恶心，小便短赤，舌苔薄黄腻，脉濡数。此患者应诊断为
选项A：感冒风寒
选项B：感冒风热
选项C：感冒暑湿
选项D：时行感冒
选项E：体虚感冒",C
中医儿科学,"题干描述：与哮喘发病关系最密切的脏腑是
选项A：肺心肝
选项B：肺脾心
选项C：肺肝脾
选项D：肝脾肾
选项E：肺脾肾",E
中药学,"题干描述：治疗水肿胀满，虫积腹痛，首选药物是
选项A：大黄
选项B：牵牛子
选项C：番泻叶
选项D：巴豆
选项E：芒硝",B
中医儿科学,"题干描述：水痘愈后可见
选项A：脱皮
选项B：脱屑
选项C：色素沉着
选项D：瘢痕
选项E：结痂后不留疤痕",E
中医基础理论,"题干描述：疾病发生的重要条件是
选项A：正气
选项B：正气不足
选项C：邪气
选项D：正邪交争
选项E：邪气损正",C
中药学,"题干描述：善于治疗梅毒或因梅毒服用汞剂而致肢体拘挛的药物是
选项A：鱼腥草
选项B：土茯苓
选项C：败酱草
选项D：蒲公英
选项E：地肤子",B
中医基础理论,"题干描述：属于“水”的官是
选项A：目
选项B：舌
选项C：口
选项D：鼻
选项E：耳",E
方剂学,"题干描述：藿香正气散的功用是
选项A：解表化湿，理气和中
选项B：宣畅气机，清利湿热
选项C：清热泻火，利水通淋
选项D：利湿消肿，理气健脾
选项E：清热化湿，理气和中",A
