范围,题目,答案
中医诊断学,"题干描述：眩晕欲仆，肢体震颤，步履不稳，舌红脉弦有力属于
选项A：血虚生风
选项B：热极生风
选项C：阴虚动风
选项D：肝阳上亢
选项E：肝阳化风",E
中医儿科学,"题干描述：脾肾阳虚泻的治法为
选项A：健脾温阳，助运止泻
选项B：健脾益气，酸甘敛阴
选项C：补肾滋阴，平肝降火
选项D：温补脾肾，固涩止泻
选项E：挽阴回阳，救逆固脱",D
中医儿科学,"题干描述：以下哪一项不属于麻疹初起的临床症状
选项A：发热
选项B：咳嗽
选项C：两目畏光
选项D：咽部有出血性红点
选项E：口腔两颊黏膜近臼齿处可见麻疹黏膜斑",D
中药学,"题干描述：黄芪与茯苓配伍，茯苓能增强黄芪的补气利水作用，这种配伍关系是
选项A：相须
选项B：相使
选项C：相反
选项D：相恶
选项E：相畏",B
中医儿科学,"题干描述：下列不属于内伤咳嗽证的是
选项A：痰热咳嗽证
选项B：痰湿咳嗽证
选项C：气虚咳嗽证
选项D：阴虚咳嗽证
选项E：风寒咳嗽证",E
方剂学,"题干描述：黄土汤的功用是
选项A：温脾散寒，涩肠止泻
选项B：温中散寒，益气健脾
选项C：温阳健脾，益气摄血
选项D：温阳健脾，养血止血
选项E：温肾暖脾，渗湿止泻",D
方剂学,"题干描述：小蓟饮子的组成药物中不包括
选项A：藕节
木通
选项B：当归
蒲黄
选项C：生地
滑石
选项D：栀子
淡竹叶
选项E：大黄
车前子",E
方剂学,"题干描述：四逆汤和理中丸中均含有的药物是
选项A：人参
选项B：大黄
选项C：甘草
选项D：白术
选项E：干姜",E
中医诊断学,"题干描述：小儿口角流涎多属于
选项A：脾气虚弱
选项B：湿热内蕴
选项C：心脾积热
选项D：肝风内动
选项E：胃气虚弱",A
针灸学,"题干描述：痛经实证的针灸治疗宜选取
选项A：中脘、次髎、地机、三阴交
选项B：中极、次髎、地机、三阴交
选项C：关元、足三里、阴陵泉
选项D：关元、足三里、三阴交
选项E：关元、气海、三阴交",B
中药学,"题干描述：均善于治疗肺痈的药物是
选项A：金银花、连翘
选项B：生地黄、玄参
选项C：鱼腥草、芦根
选项D：牡丹皮、赤芍
选项E：地骨皮、白薇",C
方剂学,"题干描述：天王补心丹中配伍茯苓意在
选项A：宁心
选项B：健脾
选项C：消痰
选项D：渗湿
选项E：利水",A
方剂学,"题干描述：由黄连、半夏、瓜蒌组成的方剂是
选项A：半夏泻心汤
选项B：大陷胸汤
选项C：滚痰丸
选项D：小陷胸汤
选项E：清气化痰丸",D
中医基础理论,"题干描述：具有“主治节”功能的脏是
选项A：肝
选项B：心
选项C：脾
选项D：肺
选项E：肾",D
中药学,"题干描述：下列哪组药物是辛凉解表药
选项A：薄荷、桑叶、荆芥
选项B：蝉衣、柴胡、菊花
选项C：柴胡、淡豆豉、防风
选项D：牛蒡子、苍耳子、升麻
选项E：蔓荆子、辛夷、葛根",B
方剂学,"题干描述：方中芍药与甘草配伍以和里缓急的方剂是
选项A：阳和汤
选项B：逍遥散
选项C：桂枝汤
选项D：小建中汤
选项E：痛泻要方",D
中医基础理论,"题干描述：“决渎之官”指的是
选项A：胆
选项B：胃
选项C：小肠
选项D：三焦
选项E：膀胱",D
中药学,"题干描述：在“十八反”中，下列除哪味药物外均与乌头相反
选项A：玄参
选项B：白及
选项C：贝母
选项D：瓜蒌
选项E：半夏",A
针灸学,"题干描述：治疗暴病耳聋，鸣声隆隆，伴畏寒，发热，脉浮，宜在翳风、听会、侠溪、中渚基础上，加取
选项A：太冲、丘墟
选项B：外关、合谷
选项C：风门、肺俞
选项D：丰隆、脾俞
选项E：足三里、三阴交",B
针灸学,"题干描述：耳后两乳突之间的骨度分寸是
选项A：4寸
选项B：6寸
选项C：8寸
选项D：9寸
选项E：12寸",D
中药学,"题干描述：青皮与陈皮的功效区别是
选项A：陈皮理脾胃之气，消积化滞；青皮理肝气，散寒止痛
选项B：陈皮理脾胃之气，燥湿化痰；青皮理肝气，活血止痛
选项C：陈皮理脾胃之气，降气化痰；青皮理肝气，消积化滞
选项D：陈皮理脾胃之气，降气化痰；青皮理肝气，活血调经
选项E：陈皮理脾胃之气，燥湿化痰；青皮理肝气，消积化滞",E
中医内科,"题干描述：治疗痰热郁肺型肺胀的首选方剂是
选项A：清金化痰汤
选项B：越婢加半夏汤
选项C：小青龙加石膏汤
选项D：麻杏石甘汤
选项E：定喘汤",B
中医诊断学,"题干描述：外感热病，气分热盛的脉象是
选项A：浮数
选项B：滑数
选项C：洪数
选项D：濡数
选项E：弦数",C
中医基础理论,"题干描述：感邪后缓慢发病是
选项A：徐发
选项B：合病
选项C：复发
选项D：感而即发
选项E：伏而后发",A
中药学,"题干描述：具有健脾补中，升阳举陷，益卫固表，托毒生肌，利水消肿功效的药物是
选项A：人参
选项B：西洋参
选项C：党参
选项D：太子参
选项E：黄芪",E
针灸学,"题干描述：关于十二经别的作用，描述不正确的是
选项A：加强了十二经脉的内外联系
选项B：对十二经气血有蓄积和渗灌调节作用
选项C：加强了经脉所属络的脏腑在体腔深部的联系
选项D：补充了十二经脉在体内外循行的不足
选项E：扩大了经穴的主治范围",B
针灸学,"题干描述：某女，20岁，食海鲜后皮肤出现大小不等，形状不一的风团，高起皮肤，边界清楚，色红，瘙痒，伴恶心,，肠鸣泄泻，舌红，苔黄腻，脉滑数。除曲池、合谷、血海、膈俞、三阴交外，应加取
选项A：外关、风池
选项B：足三里、天枢
选项C：三阴交、天枢
选项D：足三里、大横
选项E：三阴交、风池",B
中医儿科学,"题干描述：抽动障碍的病因为
选项A：脏腑阴阳失调
选项B：五志过极，风痰内蕴
选项C：元气未充，心神怯弱
选项D：肝常有余，肝风内动
选项E：脾虚肝旺，肝风扰动",B
中药学,"题干描述：人参入汤剂的用法是
选项A：先煎
选项B：后下
选项C：包煎
选项D：另煎
选项E：泡服",D
中医儿科学,"题干描述：小儿咳嗽的主要内因是
选项A：肺脾虚弱
选项B：肝肾阴虚
选项C：肺肾两虚
选项D：肝脾不和
选项E：心脾两虚",A
中医内科,"题干描述：治疗悬饮饮停胸胁证宜选用
选项A：柴枳半夏汤
选项B：香附旋覆花汤
选项C：椒目瓜蒌汤合十枣汤
选项D：沙参麦冬汤合泻白散
选项E：苓桂术甘汤合小半夏加茯苓汤",C
中医外科,"题干描述：患者女性，24岁，左乳房内单个肿块，无疼痛，边界清楚，表面光滑，活动度好，应诊断为
选项A：乳癖
选项B：乳核
选项C：乳痈
选项D：乳岩
选项E：乳疬",B
中医儿科学,"题干描述：痫证患儿，发作时突然仆倒，神志不清，颈项及全身强直，继而四肢抽搐，两目上视，牙关紧闭，口吐白沫，口唇及面部色青，舌苔白，脉弦滑。治疗应首选方剂是
选项A：定痫丸
选项B：远志丸
选项C：定魄丸
选项D：镇惊丸
选项E：涤痰汤",A
中医内科,"题干描述：治疗行痹，应首选
选项A：乌头汤
选项B：薏苡仁汤
选项C：防风汤
选项D：宣痹汤
选项E：白虎加桂枝汤",C
针灸学,"题干描述：下列五输穴中，属于本经子穴的是
选项A：大都
选项B：中渚
选项C：行间
选项D：解溪
选项E：少府",C
中医诊断学,"题干描述：鼻流浊涕者，多属
选项A：外感风热
选项B：胆经湿热
选项C：阳气虚弱
选项D：外感风寒
选项E：阴虚肺燥",A
中医诊断学,"题干描述：迟脉的主病是
选项A：虚热证
选项B：痰饮
选项C：寒证
选项D：血瘀
选项E：气滞",C
中医内科,"题干描述：胸痹的主要病机为
选项A：气滞血瘀
选项B：寒凝气滞
选项C：痰瘀交阻
选项D：阳气虚衰
选项E：心脉痹阻",E
中医儿科学,"题干描述：患儿18个月。乳牙未萌出。以下诊断中可能性最大的是
选项A：佝偻病
选项B：龋齿
选项C：解颅
选项D：肥胖症
选项E：脑发育不良",A
中医内科,"题干描述：不寐之心肾不交证的主治方剂是
选项A：归脾汤
选项B：龙胆泻肝汤
选项C：黄连温胆汤
选项D：六味地黄丸合交泰丸
选项E：安神定志丸合酸枣仁汤",D
方剂学,"题干描述：吴茱萸汤和理中丸二方组成中均含有的药物是
选项A：大枣
选项B：干姜
选项C：白术
选项D：人参
选项E：吴茱萸",D
中药学,"题干描述：鱼腥草善于治疗的病证是
选项A：乳痈
选项B：肠痈
选项C：肺痈
选项D：疔毒
选项E：大头瘟毒",C
中药学,"题干描述：何首乌的功效是
选项A：既能化痰止咳，又能润肠通便
选项B：既能补血活血，又能润肠通便
选项C：既能补益精血，又能润肠通便
选项D：既能补肾助阳，又能润肠通便
选项E：既能利水消肿，又能润肠通便",C
中医儿科学,"题干描述：水痘的隔离期为
选项A：疱疹消退后1周
选项B：发热消退后1周
选项C：疱疹与结痂并见时
选项D：痘疹出齐后
选项E：痘疹全部结痂后",E
中医内科,"题干描述：呃逆的病位与下列哪项无关
选项A：心
选项B：胃
选项C：肺
选项D：肝
选项E：肾",A
针灸学,"题干描述：下列经脉中，在大腿部没有经穴分布的是
选项A：足阳明胃经
选项B：足少阳胆经
选项C：足太阴脾经
选项D：足厥阴肝经
选项E：足少阴肾经",E
中药学,"题干描述：下列各项中属于消除脘腹胀满之要药的是
选项A：藿香
选项B：佩兰
选项C：苍术
选项D：厚朴
选项E：砂仁",D
中医内科,"题干描述：关于真心痛气虚血瘀证临床表现，错误的是
选项A：心胸刺痛
选项B：动则加重
选项C：短气乏力
选项D：舌质暗淡
选项E：脉微欲绝",E
针灸学,"题干描述：位于脐中上4寸，前正中线旁开2寸的穴位是
选项A：不容
选项B：承满
选项C：关门
选项D：梁门
选项E：天枢",D
针灸学,"题干描述：以上哪组经脉皆与肺相联系
选项A：手太阳、足少阳、手少阳经
选项B：手阳明、足太阳、足少阳经
选项C：手太阴、手阳明、足少阳经
选项D：手少阴、足厥阴、足少阴经
选项E：手太阴、足厥阴、手太阳经",D
中医儿科学,"题干描述：邪炽气营的水痘疱疹特点是
选项A：晶亮如露珠
选项B：疱疹个大且含脓液
选项C：疱浆清亮
选项D：疱浆混浊，疹色紫暗
选项E：分布稀疏",D
中药学,"题干描述：下列药物中能用于治疗失音的是
选项A：半夏
选项B：竹茹
选项C：桔梗
选项D：前胡
选项E：白芥子",C
方剂学,"题干描述：痛泻要方中配伍防风的主要用意是
选项A：升发清阳
选项B：祛风解痉
选项C：疏风散寒
选项D：疏风宽肠
选项E：散肝舒脾",E
中医内科,"题干描述：眩晕的治疗原则是
选项A：补虚泻实，调整阴阳
选项B：滋养肝肾，补气行血
选项C：清肝泻火，降逆化痰
选项D：平肝潜阳，养心安神
选项E：以上均不是",A
针灸学,"题干描述：耳穴“耳尖”的主治病证是
选项A：发热、高血压、急性结膜炎
选项B：呃逆、荨麻疹、皮肤瘙痒症
选项C：胃肠痉挛、心绞痛、胆绞痛
选项D：腹泻、痛经、失眠
选项E：盆腔炎、附件炎、痛经",A
针灸学,"题干描述：某男，70岁，大便艰涩，排出困难，腹中冷痛，面色(白光)白，四肢不温，畏寒喜暖，小便清长，舌淡苔白，脉沉迟。治疗本病，除主穴外，还应加用
选项A：合谷、内庭
选项B：太冲、中脘
选项C：脾俞、气海
选项D：神阙、关元
选项E：足三里、三阴交",D
针灸学,"题干描述：属于手太阳小肠经的腧穴是
选项A：听会
选项B：听宫
选项C：耳门
选项D：神门
选项E：下关",B
中医儿科学,"题干描述：患儿，5岁。3个月前曾患肺炎，病愈后一直不思进食，食而不化，大便稀薄，夹有不消化食物，形体较瘦，乏力肢倦，舌质淡，苔薄白。治疗应首选
选项A：肥儿丸
选项B：枳术丸
选项C：异功散
选项D：保和丸
选项E：四君子汤",C
中医诊断学,"题干描述：以下哪项不是实喘的特征
选项A：发作急骤
选项B：呼吸深长
选项C：息粗声高
选项D：呼多吸少
选项E：张口抬肩",D
中医儿科学,"题干描述：皮肤黏膜淋巴结综合征卫气同病的首选方剂为
选项A：银翘散
选项B：桑菊饮
选项C：清瘟败毒饮
选项D：沙参麦冬汤
选项E：小建中汤",A
中医儿科学,"题干描述：患儿，6岁。咳嗽喘促1天。证见喘促气急，咳嗽痰鸣，恶寒发热，鼻流清涕，咯痰黄稠，口渴，大便干，舌红，苔白，脉滑数。其治法是
选项A：温肺散寒，化痰定喘
选项B：清肺涤痰，止咳平喘
选项C：解表清里，止咳定喘
选项D：泻肺补肾，标本兼顾
选项E：健脾温肾，固摄纳气",C
中医基础理论,"题干描述：具有加强十二经脉中相为表里的两条经脉之间在体内联系作用的是
选项A：经筋
选项B：经别
选项C：别络
选项D：皮部
选项E：奇经",B
中医内科,"题干描述：精神抑郁，情绪不宁，胸胁胀满疼痛，脘腹胀满，咽中如物梗塞，苔腻。多属
选项A：气郁
选项B：血郁
选项C：痰郁
选项D：火郁
选项E：湿郁",C
中药学,"题干描述：治寒疝疼痛，睾丸偏坠疼痛，宜选用的药物是
选项A：肉桂
选项B：沉香
选项C：小茴香
选项D：丁香
选项E：木香",C
中医基础理论,"题干描述：气机升降之枢指的是
选项A：脾胃
选项B：肝胆
选项C：心肾
选项D：肝肾
选项E：肝肺",A
中医外科,"题干描述：肉瘤的西医病名是
选项A：脂肪肉瘤
选项B：骨骼肌肉瘤
选项C：脂肪瘤
选项D：钎维肉瘤
选项E：平滑肌肉瘤",C
中药学,"题干描述：确定归经学说的理论基础是
选项A：阴阳学说
选项B：脏腑经络理论
选项C：药性理论
选项D：药味理论
选项E：五行学说",B
中医基础理论,"题干描述：五行中具有“曲直“特性的是
选项A：金
选项B：水
选项C：木
选项D：火
选项E：土",C
中医内科,"题干描述：患者呕吐吞酸，嗳气频作，胸胁满痛，脉弦。此属何型呕吐
选项A：胃阴不足
选项B：热邪犯胃
选项C：肝郁化火
选项D：肝气犯胃
选项E：以上均不是",D
中医内科,"题干描述：治疗肺气虚耗所致喘证，应首选
选项A：生脉散合补肺汤
选项B：金水六君煎
选项C：六君子汤
选项D：保真汤
选项E：麦门冬汤",A
中医内科,"题干描述：虚劳证，咳嗽无力，痰液清稀，短气自汗，声音低怯，时寒时热，平素易于感冒，苔薄白，脉弱。辨证应属
选项A：肺阴虚证
选项B：肺气虚证
选项C：心气虚证
选项D：脾气虚证
选项E：肾气虚证",B
中医内科,"题干描述：患者泄泻多在黎明之前，腹部作痛，肠鸣即泻，泻后则安，形寒肢冷，腰膝酸软，舌淡苔白，脉沉细。其治法是
选项A：温肾健脾，固涩止泻
选项B：温中健脾，固涩止泻
选项C：温补脾肾，涩汤止泻
选项D：健脾补肾，化湿固涩
选项E：补肾助阳，温中固涩",A
中医儿科学,"题干描述：皮肤黏膜淋巴结综合征气阴两伤证的首选方剂为
选项A：银翘散
选项B：桑菊饮
选项C：清瘟败毒饮
选项D：沙参麦冬汤
选项E：小建中汤",D
针灸学,"题干描述：经脉循行中，不与目内眦或目外眦发生联系的是
选项A：手少阳三焦经
选项B：手太阳小肠经
选项C：手阳明大肠经
选项D：足太阳膀胱经
选项E：足少阳胆经",C
中药学,"题干描述：治疗积滞便秘常与大黄配伍的药物是
选项A：番泻叶
选项B：甘遂
选项C：芒硝
选项D：火麻仁
选项E：生地黄",C
中医儿科学,"题干描述：正常小儿开始会独坐的月龄一般是
选项A：2
选项B：4
选项C：6
选项D：8
选项E：10",C
针灸学,"题干描述：下列特定穴中，除哪项外均位于肘膝关节以下
选项A：原穴
选项B：络穴
选项C：下合穴
选项D：五输穴
选项E：八会穴",E
中药学,"题干描述：具有散寒止痛，理气和胃作用的药物是
选项A：细辛
选项B：花椒
选项C：丁香
选项D：小茴香
选项E：高良姜",D
中医儿科学,"题干描述：治疗小儿痫证脾肾两虚证的首选方是
选项A：左归丸
选项B：右归丸
选项C：大补元煎
选项D：河车八味丸
选项E：固真汤合逐寒荡惊汤",D
中医儿科学,"题干描述：幼儿期是指
选项A：从出生断脐到生后满28天
选项B：出生28天后到满1周岁
选项C：1～3岁
选项D：3～7岁
选项E：7～12岁",C
中医内科,"题干描述：下列哪一项不是脾虚湿滞证黄疸的特点
选项A：肌肤淡黄
选项B：疸色晦暗不泽
选项C：肢软乏力
选项D：大便溏薄
选项E：小便色清",E
中医基础理论,"题干描述：属于“水”的气是
选项A：风
选项B：暑
选项C：湿
选项D：燥
选项E：寒",E
中药学,"题干描述：治疗怀胎蕴热、胎动不安者，当选用的药物是
选项A：桑寄生
选项B：黄芩
选项C：苏梗
选项D：续断
选项E：砂仁",B
中药学,"题干描述：下列除哪项外均为桔梗的主治证
选项A：肺痈
选项B：咳嗽
选项C：咽痛
选项D：失音
选项E：眩晕",E
中医内科,"题干描述：患者小便不畅，咽干咳嗽，烦渴欲饮，呼吸急促，舌红，苔薄黄，脉数。治疗方剂宜首选
选项A：八正散
选项B：代抵当汤
选项C：沉香散
选项D：清肺饮
选项E：补中益气汤",D
中医内科,"题干描述：真心痛发作期治疗原则为
选项A：疏理气机，活血化瘀
选项B：辛温通阳，泄浊豁痰
选项C：镇心安神，益气养阴
选项D：急则治标，速效止痛
选项E：补气活血，温阳通脉",D
中药学,"题干描述：治疗风湿痹痛，兼有肝肾不足的最佳选药是
选项A：羌活
选项B：独活
选项C：桑寄生
选项D：威灵仙
选项E：秦艽",C
中医内科,"题干描述：下列除哪项外，均属湿热痢的主症
选项A：腹痛，里急后重
选项B：下痢赤白相兼
选项C：肛门灼热
选项D：小便短赤
选项E：苔白腻，脉濡缓",E
中医内科,"题干描述：治疗疟疾时，服药一般在
选项A：疟疾发作时
选项B：疟发前1小时
选项C：疟发前2小时
选项D：疟发后1小时
选项E：疟发后2小时",C
中医儿科学,"题干描述：治疗贫血心脾两虚证，应首选方剂是
选项A：归脾汤
选项B：六君子汤
选项C：左归丸
选项D：右归丸
选项E：四物汤",A
针灸学,"题干描述：肘横纹（平肘尖）至腕掌（背）侧横纹的骨度分寸是
选项A：6寸
选项B：8寸
选项C：9寸
选项D：12寸
选项E：13寸",D
针灸学,"题干描述：任脉循行未至以下何处
选项A：口唇
选项B：面部
选项C：咽喉
选项D：鼻
选项E：目",D
中医内科,"题干描述：痿证之脉络瘀阻证症见
选项A：病起发热，皮肤于燥，咳呛少痰
选项B：肢体困重，手足麻木，喜凉恶热
选项C：神疲肢倦，肌肉萎缩，少气懒言
选项D：腰膝酸软，眩晕耳鸣，舌咽干燥
选项E：手足麻木不仁，四肢青筋显露，舌痿不能伸缩",E
中医诊断学,"题干描述：肝火犯肺与肝火炽盛证的主要不同点在于
选项A：胸胁灼痛
选项B：头胀头晕
选项C：面红目赤
选项D：痰中带血
选项E：急躁易怒",D
中医诊断学,"题干描述：以下哪项不是寒痰阻肺证的特征
选项A：痰多
选项B：色白
选项C：咳喘
选项D：质稀
选项E：难咯",E
中医儿科学,"题干描述：抽动障碍气郁化火证的治法为
选项A：温中健脾，暖肝理脾
选项B：健脾化痰，平肝熄风
选项C：清肝泻火，熄风镇惊
选项D：滋阴潜阳，柔肝熄风
选项E：清热泻火，平肝熄风",C
针灸学,"题干描述：前额发角（头维）之间的骨度分寸是
选项A：6寸
选项B：8寸
选项C：9寸
选项D：12寸
选项E：13寸",C
中药学,"题干描述：既能祛风解表，又能胜湿，止痛，止痉的药物是
选项A：荆芥
选项B：防风
选项C：香薷
选项D：紫苏
选项E：桂枝",B
中医内科,"题干描述：治疗内伤发热气郁发热证的代表方是
选项A：丹栀逍遥散
选项B：清骨散
选项C：补中益气汤
选项D：血府逐瘀汤
选项E：归脾汤",A
针灸学,"题干描述：绝经前后诸证肾阳虚者，宜配伍
选项A：照海、阴谷
选项B：中脘、丰隆
选项C：关元、命门
选项D：心俞、神门
选项E：中脘、阴陵泉",C
中药学,"题干描述：芫花减轻其毒性宜如何炮制
选项A：蜜制
选项B：土炒
选项C：酒制
选项D：醋制
选项E：姜制",D
针灸学,"题干描述：位于腕背横纹桡侧，当拇短伸肌腱与拇长伸肌腱之间的凹陷中的穴位是
选项A：大陵
选项B：太渊
选项C：阳溪
选项D：神门
选项E：阳池",C
中医诊断学,"题干描述：以腰膝酸软，身肿尿少为特征的是
选项A：肾虚水泛证
选项B：肾阳虚证
选项C：肾阴虚讦
选项D：肾精不足证
选项E：肾气不固证",A
中药学,"题干描述：治疗多种原因所致的痉挛抽搐，多与全蝎配伍相须使用的药物是
选项A：蜈蚣
选项B：白僵蚕
选项C：钩藤
选项D：天麻
选项E：地龙",A
中药学,"题干描述：善清三焦之火的药物是
选项A：夏枯草
选项B：石膏
选项C：淡竹叶
选项D：栀子
选项E：黄芩",D
中医内科,"题干描述：虚证泄泻的特点是
选项A：大便清稀，完谷不化，腹部喜温
选项B：大便色黄褐而臭，泻下急迫，肛门灼热
选项C：泻下腹痛，痛势急迫拒按，泻后痛减
选项D：大便时溏时泻，腹痛不甚，喜温喜按
选项E：每因抑郁恼怒或情绪紧张之时，即发生腹痛泄泻",D
中医内科,"题干描述：肝气乘脾泄泻的特点是
选项A：大便清稀，完谷不化，腹部喜温
选项B：大便色黄褐而臭，泻下急迫，肛门灼热
选项C：泻下腹痛，痛势急迫拒按，泻后痛减
选项D：大便时溏时泻，腹痛不甚，喜温喜按
选项E：每因抑郁恼怒或情绪紧张之时，即发生腹痛泄泻",E
中医内科,"题干描述：患者突然跌倒，神志不清，口吐涎沫，两目上视，四肢抽搐，口中如作猪羊叫声，移时苏醒，舌苔白腻，脉弦滑。治疗应首选
选项A：定痫丸
选项B：导痰汤
选项C：二阴煎
选项D：涤痰汤
选项E：控涎丹",A
中医诊断学,"题干描述：真热假寒的面色是
选项A：满面通红
选项B：浮红如妆
选项C：面色紫暗
选项D：面呈青色
选项E：面呈黑色",C
中医儿科学,"题干描述：儿童多动症，其病在肾者，临床证候是
选项A：易于冲动，好动难静，容易发怒，常不能自控
选项B：兴趣多变，做事有头元尾，记忆力差
选项C：脑失精明，学习成绩低下，记忆力欠佳，或有遗尿、腰酸乏力
选项D：注意力不集中，情绪不稳定，多梦烦躁
选项E：神思涣散，活动过多，动作笨拙",C
中药学,"题干描述：既能化湿，又能解暑的药物是
选项A：藿香、佩兰
选项B：苍术、厚朴
选项C：砂仁、豆蔻
选项D：橘皮、青皮
选项E：茯苓、玉竹",A
中药学,"题干描述：艾叶的功效长于
选项A：凉血止血
选项B：收敛止血
选项C：化瘀止血
选项D：温经止血
选项E：补虚止血",D
中药学,"题干描述：蒲黄入汤剂，其用法是
选项A：先煎
选项B：后下
选项C：冲服
选项D：布包煎
选项E：久煎",D
针灸学,"题干描述：治疗耳聋实证，应选用以下哪组经脉为主
选项A：足少阴、手太阳经穴
选项B：足少阳、手少阳经穴
选项C：足少阴、手少阴经穴
选项D：足少阳、手少阴经穴
选项E：足少阴、手少阳经穴",B
中医内科,"题干描述：热哮病的代表方宜选用
选项A：射干麻黄汤
选项B：定喘汤
选项C：小青龙汤加石膏汤
选项D：三子养亲汤
选项E：平喘固本汤",B
针灸学,"题干描述：善于治疗遗精阳痿小便频数等肾阳不足病证的腧穴是
选项A：风府
选项B：上星
选项C：志室
选项D：命门
选项E：哑门",D
中药学,"题干描述：治疗温病伤阴，夜热早凉，青蒿最宜配伍的药物是
选项A：地骨皮
选项B：鳖甲
选项C：银柴胡
选项D：龟甲
选项E：羚羊角",B
针灸学,"题干描述：手少阳三焦经的输穴是
选项A：中渚
选项B：天井
选项C：支沟
选项D：液门
选项E：三间",A
针灸学,"题干描述：治疗寒湿型泄泻，除主穴外，应加用
选项A：内庭
选项B：中脘
选项C：神阙
选项D：太冲
选项E：脾俞",C
中医诊断学,"题干描述：以下哪项不是脉有胃气的表现
选项A：来去从容
选项B：节律一致
选项C：不疾不徐
选项D：不浮不沉
选项E：尺脉有力",E
中医诊断学,题干描述：邪热壅肺证的治法是,C
中医内科,"题干描述：阳虚型便秘，治疗首选
选项A：黄芪汤
选项B：济川煎
选项C：化肝煎
选项D：木香顺气散
选项E：六磨汤",B
中医基础理论,"题干描述：“血之余”是指
选项A：发
选项B：爪
选项C：毛
选项D：唇
选项E：面",A
中医外科,"题干描述：适宜采用硬化注射疗法的是
选项A：内痔
选项B：外痔
选项C：肛乳头肥大
选项D：肛漏
选项E：锁肛痔",A
中医外科,"题干描述：下列哪种疾病无脱垂症状
选项A：Ⅱ期内痔
选项B：肛裂
选项C：混合痔
选项D：息肉痔
选项E：脱肛",B
中医内科,"题干描述：治疗痰热郁肺咳嗽的主方是
选项A：桑菊饮
选项B：麻杏石甘汤
选项C：泻白散
选项D：清金化痰汤
选项E：清肺汤",D
中医诊断学,"题干描述：咽喉淡红不肿，微痛多为
选项A：肺胃热盛
选项B：虚火上炎
选项C：肺胃热毒
选项D：风热痰火",B
中药学,"题干描述：西洋参入汤剂宜
选项A：先煎
选项B：后下
选项C：包煎
选项D：另煎
选项E：烊化",D
